EmployeeID,Name,Department,Salary
E001,Arun,IT,56781.0
E002,Priya,HR,47648.0
E003,Karthik,Finance,54009.0
E004,Meena,Sales,58620.0
E005,Karthik,HR,55277.63265306123
E006,Divya,HR,68520.0
E007,Suresh,Finance,53906.0
E008,Anitha,Sales,51837.0
E009,Vijay,IT,57139.0
E010,Karthil,HR,48058.0
E011,Arun,IT,53721.0
E012,Arun,Sales,55834.0
E013,Priya,IT,45878.0
E014,Karthik,HR,48762.0
E015,Unknown,Finance,57603.0
E016,Rahul,Sales,47903.0
E017,Divya,IT,69677.0
E018,Suresh,HR,55277.63265306123
E019,Anitha,Finance,57457.0
E020,Unknown,Sales,58514.0
E021,Keerthi,IT,67759.0
E022,Arun,HR,61846.0
E023,Arun,Finance,52161.0
E024,Priya,Sales,49047.0
E025,Karthik,IT,51661.0
E026,Meena,HR,59825.0
E027,Rahul,Finance,62125.0
E028,Divya,Sales,51142.0
E029,Suresh,IT,54646.0
E030,Anitha,HR,54972.0
E031,Vijay,Finance,48031.0
E032,Keerthi,Sales,63679.0
E033,Arun,IT,55192.0
E034,Arun,HR,59205.0
E035,Priya,Finance,56163.0
E036,Karthik,Sales,47343.0
E037,Meena,IT,46494.0
E038,Rahul,HR,50665.0
E039,Divya,Finance,53815.0
E040,Suresh,Sales,49895.0
E041,Anitha,IT,68482.0
E042,Vijay,HR,51200.0
E043,Keerthi,Finance,56567.0
E044,Arun,Sales,45636.0
E045,Arun,IT,57556.0
E046,Priya,HR,66123.0
E047,Karthik,Finance,58907.0
E048,Meena,Sales,67091.0
E049,Rahul,IT,45740.0
E050,Divya,HR,46988.0
E022,Arun,IT,56781.0
,Unknown,,55277.63265306123
